category,Niederschlag
2010/03,44.5
2010/04,28.5
2010/05,122.8
2010/06,42.5
2010/07,66.1
2010/08,146.1
2010/09,55.3
2010/10,43.8
2010/11,76.4
2010/12,111.9
2011/01,38.7
2011/02,32.9
2011/03,43.1
2011/04,29.9
2011/05,54.9
2011/06,133
2011/07,100.2
2011/08,82.2
2011/09,39
2011/10,60.3
2011/11,1.1
2011/12,101.2
2012/01,65.1
2012/02,17.9
2012/03,22.7
2012/04,66
2012/05,88
2012/06,137.8
2012/07,93.3
2012/08,86.8
2012/09,91.5
2012/10,111.3
2012/11,125.9
2012/12,93.6
2013/01,33.4
2013/02,67.3
2013/03,37.7
2013/04,60.7
2013/05,158.7
2013/06,56.2
2013/07,70.5
2013/08,72.4
2013/09,112.2
2013/10,149.8
2013/11,99.5
2013/12,100.3
2014/01,55
2014/02,69.5
2014/03,13.7
2014/04,59.9
2014/05,73.4
2014/06,41.9
2014/07,279.7
2014/08,72.6
2014/09,60.7
2014/10,65.1
2014/11,77.7
2014/12,39.6
2015/01,82.2
2015/02,45.9
2015/03,22.2
2015/04,104.3
2015/05,114.2
2015/06,99.9
2015/07,56.7
2015/08,39.1
2015/09,63.2
2015/10,31.5
2015/11,84.8
2015/12,15.1
2016/01,113.8
2016/02,76.6
2016/03,57.7
2016/04,165
2016/05,96.9
2016/06,155.3
2016/07,40.7
2016/08,42.4
2016/09,37.4
2016/10,52.8
2016/11,67.2
2016/12,6.2
2017/01,38.3
2017/02,58.7
2017/03,38.4
2017/04,42
2017/05,92.7
2017/06,74.7
2017/07,91.3
2017/08,93.8
2017/09,60.2
2017/10,58
2017/11,132.2
2017/12,67.8
2018/01,106.9
2018/02,33.6
2018/03,41
2018/04,20.3
2018/05,129.7
2018/06,13.3
2018/07,31.7
2018/08,73.2
2018/09,32.8
2018/10,30.4
2018/11,32.7
2018/12,71.9
2019/01,45.7
2019/02,22.5
2019/03,60.4
2019/04,87
2019/05,130.1
2019/06,78.5
2019/07,71
2019/08,112
2019/09,59.2
2019/10,101.7
2019/11,59.3
2019/12,64.8
2020/01,26.3
2020/02,82.8
2020/03,54.7
2020/04,5.4
2020/05,58.9
2020/06,80.2
2020/07,20.4
2020/08,103.6
2020/09,37.4
2020/10,85.2
2020/11,32.4
2020/12,76.8
2021/01,129.8
2021/02,33.7
2021/03,44.7
2021/04,46
2021/05,119.3
2021/06,145.4
2021/07,106.4
2021/08,60.2
2021/09,44.6
2021/10,66.7
2021/11,30.1
2021/12,60.3
2022/01,33.6
2022/02,41.3
2022/03,20.8
2022/04,79
2022/05,35.7
2022/06,114.1
2022/07,6.7
2022/08,132.5
2022/09,81.9
2022/10,89.8
2022/11,56.8
2022/12,41.7
2023/01,39.8
2023/02,25.5
2023/03,81
2023/04,50
2023/05,61.6
2023/06,43.9
2023/07,90.9
2023/08,103.2
2023/09,31.5
2023/10,78.8
2023/11,140.6
2023/12,75.5
2024/01,42.5
2024/02,44.1
2024/03,87.5
2024/04,71.7
2024/05,156
2024/06,107.2
2024/07,77.9
2024/08,71.1
2024/09,129.6
2024/10,82.5
2024/11,54.7
2024/12,57.4
2025/01,74.3
2025/02,55.5
2025/03,25
2025/04,82.8
2025/05,56.3
2025/06,130.5
2025/07,113.8
2025/08,182.3
2025/09,188.5
2025/10,85.9
2025/11,113.6
2025/12,10.6
